alpha,cluster
QQQ_Alpha_2,0
DBC_Alpha_15,9
USO_Alpha_15,9
GLD_Alpha_4,1
DBC_Alpha_17,9
DBC_Alpha_13,9
QQQ_Alpha_5,6
SPY_Alpha_6,8
EEM_Alpha_7,2
QQQ_Alpha_4,6
GLD_Alpha_3,1
TLT_Alpha_7,3
TLT_Alpha_4,3
GLD_Alpha_15,1
DBC_Alpha_1,9
USO_Alpha_12,9
TLT_Alpha_6,3
GLD_Alpha_5,1
IWM_Alpha_7,8
TLT_Alpha_8,3
USO_Alpha_2,5
SPY_Alpha_2,0
SPY_Alpha_4,6
QQQ_Alpha_6,8
GLD_Alpha_14,1
VNQ_Alpha_10,4
VNQ_Alpha_9,4
TLT_Alpha_3,3
QQQ_Alpha_7,8
VNQ_Alpha_11,4
GLD_Alpha_17,1
TLT_Alpha_2,3
EEM_Alpha_8,2
SPY_Alpha_3,0
DBC_Alpha_4,5
EEM_Alpha_6,8
EEM_Alpha_9,2
SPY_Alpha_5,6
DBC_Alpha_3,5
EFA_Alpha_9,2
TLT_Alpha_9,3
TLT_Alpha_11,3
EFA_Alpha_6,8
QQQ_Alpha_3,0
DBC_Alpha_5,5
GLD_Alpha_0,1
USO_Alpha_5,5
IWM_Alpha_8,2
TLT_Alpha_17,3
QQQ_Alpha_17,7
IWM_Alpha_6,8
SPY_Alpha_1,2
IWM_Alpha_16,7
GLD_Alpha_12,1
IWM_Alpha_9,0
GLD_Alpha_8,1
TLT_Alpha_5,3
VNQ_Alpha_12,4
GLD_Alpha_1,1
DBC_Alpha_2,5
VNQ_Alpha_7,4
DBC_Alpha_0,9
SPY_Alpha_16,7
EEM_Alpha_11,0
VNQ_Alpha_14,4
EFA_Alpha_8,2
EFA_Alpha_0,8
EFA_Alpha_10,0
SPY_Alpha_8,2
IWM_Alpha_10,0
IWM_Alpha_13,8
QQQ_Alpha_14,7
USO_Alpha_0,9
VNQ_Alpha_17,4
SPY_Alpha_14,7
SPY_Alpha_9,0
EEM_Alpha_17,7
SPY_Alpha_7,8
QQQ_Alpha_16,7
EEM_Alpha_5,0
IWM_Alpha_1,2
GLD_Alpha_6,1
USO_Alpha_3,5
EFA_Alpha_11,0
USO_Alpha_1,9
