alpha,score,sharpe,sortino,drawdown
QQQ_Alpha_2,0.6037964026623304,0.4657119888715187,0.6317954992760465,-0.24009014223030367
DBC_Alpha_15,0.5710650038131604,0.5465441003441531,0.3016554611337595,-0.12683091554876225
DBC_Alpha_16,0.5134689807775594,0.4884899946583457,0.23608363912919755,-0.17584036274846038
USO_Alpha_15,0.5098438339200467,0.5100686053734608,0.325027525708309,-0.30563955313943414
GLD_Alpha_4,0.5091012174804487,0.4237633855474791,0.5751084508739713,-0.44312224000244793
DBC_Alpha_17,0.4979338676503172,0.46930246036521045,0.18618399729113544,-0.15214105227702535
DBC_Alpha_13,0.49512215025263223,0.3865608045802729,0.32372550355402413,-0.18873274215228053
USO_Alpha_17,0.4889636571181698,0.46776571035825876,0.20435069808148873,-0.1981594548319343
DBC_Alpha_14,0.4792914913937326,0.3924147914555582,0.2702375741330083,-0.1958189914279771
QQQ_Alpha_5,0.4729434576417106,0.4161807088560905,0.49297548646669964,-0.471404906135785
USO_Alpha_16,0.4719879094387752,0.4632842301869127,0.24100520585773202,-0.2854244813110316
SPY_Alpha_6,0.4413577474329526,0.31439233541454853,0.4341615859568324,-0.38215887506638846
EEM_Alpha_7,0.43466247881692566,0.3166468272306276,0.45498170711567787,-0.42830254736676243
QQQ_Alpha_4,0.4337066914686993,0.3748629715701882,0.45268984166787124,-0.506818165532458
GLD_Alpha_3,0.4330481875243748,0.31584179823928393,0.42884392017962064,-0.40647235941741644
TLT_Alpha_7,0.4233833646010934,0.2906165523628456,0.4471787161857511,-0.42338957066590066
TLT_Alpha_4,0.4216605738851292,0.2802395611967768,0.43618485875477514,-0.4043023607333802
GLD_Alpha_15,0.4023404181613513,0.26328356088782323,0.1289695670389115,-0.1388795876848381
GLD_Alpha_16,0.4017474524991703,0.27059031062838274,0.11268223167876372,-0.13431113751937285
DBC_Alpha_1,0.3984604501099918,0.2916140322161136,0.43073995108274415,-0.4913571603375896
USO_Alpha_12,0.3939982067320755,0.35510778726575926,0.3799801281216521,-0.5401298220357461
USO_Alpha_14,0.3937801700433696,0.34509091502110956,0.26374220014539457,-0.4112628533623085
TLT_Alpha_6,0.39276495681969786,0.24056524504849583,0.3696979489084146,-0.38123508624074953
GLD_Alpha_5,0.3875879626629303,0.28463894565532327,0.3867489256206608,-0.47430764428465766
IWM_Alpha_7,0.3818481639202882,0.3151173867375753,0.44172252052470007,-0.589051823107173
TLT_Alpha_8,0.364751249882065,0.21625713137371794,0.3246174023687617,-0.3971227445935024
