,QQQ_Alpha_2,DBC_Alpha_15,DBC_Alpha_16,USO_Alpha_15,GLD_Alpha_4,DBC_Alpha_17,DBC_Alpha_13,USO_Alpha_17,DBC_Alpha_14,QQQ_Alpha_5,USO_Alpha_16,SPY_Alpha_6,EEM_Alpha_7,QQQ_Alpha_4,GLD_Alpha_3,TLT_Alpha_7,TLT_Alpha_4,GLD_Alpha_15,GLD_Alpha_16,DBC_Alpha_1,USO_Alpha_12,USO_Alpha_14,TLT_Alpha_6,GLD_Alpha_5,IWM_Alpha_7,TLT_Alpha_8,USO_Alpha_2,SPY_Alpha_2,SPY_Alpha_4,QQQ_Alpha_6,GLD_Alpha_14,DBC_Alpha_12,VNQ_Alpha_10,VNQ_Alpha_9,TLT_Alpha_3,QQQ_Alpha_7,VNQ_Alpha_11,GLD_Alpha_17,USO_Alpha_13,TLT_Alpha_2,EEM_Alpha_8,SPY_Alpha_3,GLD_Alpha_13,DBC_Alpha_4,EEM_Alpha_6,EEM_Alpha_9,SPY_Alpha_5,DBC_Alpha_3,EFA_Alpha_9,TLT_Alpha_9,TLT_Alpha_11,EFA_Alpha_6,QQQ_Alpha_3,DBC_Alpha_5,GLD_Alpha_0,USO_Alpha_5,IWM_Alpha_8,TLT_Alpha_17,QQQ_Alpha_17,IWM_Alpha_6,SPY_Alpha_1,IWM_Alpha_16,IWM_Alpha_15,GLD_Alpha_12,IWM_Alpha_9,GLD_Alpha_8,TLT_Alpha_5,VNQ_Alpha_12,GLD_Alpha_1,DBC_Alpha_2,VNQ_Alpha_13,VNQ_Alpha_7,DBC_Alpha_0,SPY_Alpha_16,EEM_Alpha_11,VNQ_Alpha_14,EFA_Alpha_8,EFA_Alpha_0,EFA_Alpha_10,SPY_Alpha_8,IWM_Alpha_10,IWM_Alpha_13,SPY_Alpha_15,IWM_Alpha_14,QQQ_Alpha_14,USO_Alpha_0,VNQ_Alpha_17,SPY_Alpha_14,IWM_Alpha_17,SPY_Alpha_9,SPY_Alpha_17,EEM_Alpha_17,SPY_Alpha_7,QQQ_Alpha_16,EEM_Alpha_5,IWM_Alpha_1,GLD_Alpha_6,USO_Alpha_3,EFA_Alpha_11,USO_Alpha_1
QQQ_Alpha_2,1.0,0.14370249112764732,0.11851275647109698,0.07946300424400528,-0.01787571227713933,0.09644112037879267,0.07001604933633054,0.07679320484900803,0.10352623918301888,0.12567077249630607,0.0793454563676913,-0.2606294083282381,-0.2776340966157369,0.27729512979806503,-0.010320823462019076,-0.026825474945084464,0.06495694905395363,0.04807445954652267,0.04193703493792521,0.0943981709355883,0.04580790557875383,0.05669158156790205,-0.03997158912366762,-0.013928443465267986,-0.2958058469193814,-0.07031924570317506,0.11753784612352886,0.8059255872114551,0.2981171251116141,-0.2849727476965305,0.05445121861553137,0.051991934896209034,-0.24179771284167464,-0.28278415158971054,0.08109070632102913,-0.42970004054164507,-0.19489688286854145,0.046240743165779405,0.06357939276503775,0.13725320690891032,-0.3861234582660372,0.4631562208277617,0.035491885324499005,0.048101916434238286,-0.171472034158871,-0.38676157229200836,0.1802635951641831,0.11671912383303268,-0.47138521659548727,-0.08662655040498915,-0.06825856938452102,-0.18549084353766257,0.4912086346862142,0.038109756591803275,0.02922703653788982,0.06973525856556857,-0.4592457933758894,0.10348051551395843,0.31499542715623524,-0.19275765367574102,0.529724214623219,0.3399669662776253,0.3563411669796115,0.025419128388522613,-0.4915305845251276,-0.0567777692499137,0.07971997344712901,0.1765656668505698,0.0852714773913227,0.13209150791435198,0.212651835198161,-0.22224422491169074,0.08059596393171896,0.359902709835754,-0.27759977501747046,0.24655113053371325,-0.40173823555589605,0.2412373246761013,-0.35263237589846785,-0.6087530841994873,-0.38460257841368567,0.27428356927004693,0.39851178940299303,0.3509350159854719,0.5122791817257765,0.09555929410140944,0.21940474850762365,0.4509914920773309,0.2947984413094783,-0.6427643022407719,0.3089595615783439,0.24738203963310332,-0.3779708154858649,0.37425011781439976,0.1997330962061012,0.3839554005200603,-0.031441537777475284,0.12134286153472522,-0.2694726568200703,0.10320115189458456
DBC_Alpha_15,0.14370249112764732,1.0,0.8867407693638809,0.557242032054624,0.09023574771723163,0.7939287102368822,0.7242352194052909,0.45327478696871926,0.8482471403372097,-0.021212553607582545,0.4960829699430669,-0.16078030932870427,-0.17622965485468384,0.03304654408285718,0.0809590234570504,-0.03573839043549045,0.002224571078958989,0.17873508015969508,0.1816371172524493,0.4317906443673812,0.4332752458319935,0.5234338700981959,-0.03448204317242657,0.0957640307860437,-0.14890072157762588,-0.06931781486191974,0.3773781492893597,0.18711831357055533,0.021208946910953985,-0.12042015424562082,0.15936199483360478,0.6341184552523875,-0.08013894565626013,-0.10394678130790727,0.017765600579249585,-0.1229059189517801,-0.0662241548657937,0.17484507536303062,0.48875006284217626,0.05026253434231317,-0.20797652679757594,0.13862331086964744,0.14344469274074761,0.30702016387591263,-0.1573185338389756,-0.21081708186178108,-0.015811401511593905,0.435358730162688,-0.20555329549325838,-0.04354091057410231,-0.02196145498941932,-0.15632810200342143,0.11836803876643341,0.30376246993884237,0.12476150569907815,0.26533684529429086,-0.15065297311233572,0.08362690521655262,0.149539692404976,-0.12024700260337634,0.18149847180903073,0.19710546830313264,0.20703978663523137,0.1372542678121918,-0.1651939840238751,-0.09530922705017457,0.004976905626697482,0.08655634367245507,0.0890926847550846,0.4331689201430697,0.09412429612204051,-0.11699608901881714,0.43264529519990025,0.1714533010812455,-0.1621492489731923,0.07687433031077208,-0.21261740977580962,0.19180533734304925,-0.14910927480256259,-0.17895372884782532,-0.1414605259988407,0.16909477141739668,0.18930483724441063,0.1884351094629769,0.16152137928583382,0.379761056240081,0.03205808740903796,0.17501899024516007,0.12480026646478071,-0.18204816051670522,0.09253102641319483,0.13438261611013583,-0.17069055285953252,0.16014083919197794,0.09497700649019046,0.15154779857560927,-0.11114086194529217,0.35650268663543405,-0.1298716430646277,0.3896625426254584
DBC_Alpha_16,0.11851275647109698,0.8867407693638809,1.0,0.5487745483830785,0.09621224218680882,0.8953496838316232,0.6422090369734449,0.506413237240437,0.7521764075983005,-0.0380532677877655,0.5495366376307622,-0.14229016531145983,-0.13798164659044357,0.02685717252857275,0.08304125964942924,-0.03904011459474586,0.02137601932448908,0.1769132518710075,0.1888877210360049,0.3828854036703249,0.406416658827682,0.5051010851259389,-0.03541567917789727,0.09926500279609761,-0.12057214479101398,-0.06435138166458937,0.3595446125968315,0.16436464894041383,0.0315709599321056,-0.10277305258466243,0.15441882923440522,0.5623010512610547,-0.0683301061236438,-0.07973047405893369,0.019966962516212293,-0.11080182654538104,-0.0807263861342106,0.18432653854063621,0.46281162487003513,0.03698059891750658,-0.16600371712326165,0.1371378077950519,0.13851524577224367,0.38875176158626534,-0.11757999050253451,-0.16986518767641196,-0.01175572859235417,0.38605082786520123,-0.1706182903833019,-0.04319722486717242,-0.03056000766826405,-0.14324797968362676,0.11636841873198062,0.3377931910703256,0.12629745953865343,0.29502747731292384,-0.12715672262324124,0.09563506745177376,0.14457892981879822,-0.12824076353863134,0.16259089969666235,0.20249130094462664,0.21109436833184414,0.12967499544697286,-0.14027055484355547,-0.09272425580036968,0.012331367497339873,0.06634968799410314,0.09847512998809461,0.3841108717274658,0.08099951263741037,-0.09601649282842636,0.3836475980585439,0.16246944430149432,-0.14670146480284776,0.07211807869252349,-0.17830797379311822,0.15942257355409528,-0.1584783751033014,-0.16463719615426173,-0.13127972732976714,0.16925138535838385,0.17894603742766507,0.18157389044555822,0.12751370451222446,0.35641788908937794,0.038794398553014815,0.15466829457643116,0.1188373962986488,-0.15998326327937407,0.1023928175011104,0.14484998219630113,-0.14925982097735477,0.13275266659787335,0.08300644992176211,0.13869972806106845,-0.10348726952320274,0.35424592727492066,-0.14984152554031743,0.36071470366468716
USO_Alpha_15,0.07946300424400528,0.557242032054624,0.5487745483830785,1.0,0.03388643624202867,0.5268838136727177,0.4868520394269185,0.8690775420348829,0.5054548597181134,-0.07825371470494534,0.9189018096902654,-0.15674854246344405,-0.1181813513730923,-0.0383890780118959,0.027132784771769235,-0.08654160464111056,0.014374874723272276,0.04869042129436375,0.06041391557411089,0.34253589238773374,0.6759071880513586,0.8864462443262358,-0.08870355419548134,0.033210739664528886,-0.13747299266987104,-0.09371147995367238,0.48760280238200177,0.12523199637051377,-0.00450819156824866,-0.0966203594954232,0.03273943902112587,0.42988562542075537,-0.08375307721769185,-0.08911773655784923,0.027322532456521453,-0.09305280899393903,-0.09100838125031482,0.05525577843934624,0.7871506644455667,0.045449913726306856,-0.12459141644898905,0.11096086861049756,0.03462168136934883,0.25829082526716324,-0.1284549168913686,-0.1307036046639098,-0.027914777315698584,0.3321960847195362,-0.13882520860786576,-0.05068072161446396,-0.025119943477626847,-0.1551181127053791,0.09497812171292624,0.28640442371888697,0.024485217172294748,0.41244209415298094,-0.11717518075549672,0.12109040825879482,0.10652507728627483,-0.1329617494719501,0.1318816079092236,0.1878293926474963,0.20194939893377623,0.030012768316884517,-0.12305593289809473,-0.026757281366770316,0.01306930077879348,0.07038358036935984,0.03448142091226633,0.2788883894441521,0.06930501776573084,-0.12120467384066251,0.30793369302391943,0.11416432871639348,-0.10832005798476219,0.06889263790074622,-0.15338214408548378,0.1566673584915763,-0.1191690270497245,-0.11712921971425792,-0.12181375465351943,0.16944853553854025,0.13435249815385683,0.1779275646952295,0.09612411890101102,0.48735032946552703,0.012475123712437173,0.12519379737330896,0.09566900684222815,-0.13567455575679227,0.051893358978524914,0.09465551760727745,-0.1266190638360593,0.08446876640420632,0.042729900080150394,0.12448182237639069,-0.02868343525145856,0.4889667931319187,-0.10729699794004789,0.4882666370281228
GLD_Alpha_4,-0.01787571227713933,0.09023574771723163,0.09621224218680882,0.03388643624202867,1.0,0.0964522916659252,0.06122261158344593,0.024688005158123374,0.06954897922430493,0.00456811754922463,0.029416801163140046,0.044168723333534686,0.00281224129311073,0.03699857976167086,0.6398537423694782,-0.02595568677806028,0.07588981197798057,0.38163159318102197,0.4191265404064001,0.10037088265963913,0.0020410894374744176,0.03574583828601513,0.006677346438854583,0.7498905214089625,0.049830141821200886,-0.03842380553739433,0.057393959879095895,-0.028766996476664777,-0.009625141106430108,0.011531766143780741,0.3131113495578091,0.02981727131567695,-0.01289956879446237,0.001587133966385719,0.07728234927655918,0.030301461686152366,-0.008273221115987203,0.3876407064256753,0.025015195692091458,0.02682917409679179,-0.03249405244040415,0.0012628571487482755,0.2734086323196822,0.09372317898669578,-0.010456879992065293,-0.08072778257137045,-0.04122440273193929,0.10696976827704388,-0.037659810272778795,-0.053787837489371416,-0.08138158636088282,0.0282291322941105,0.017854630896670713,0.05499096774211379,0.22294977844819316,0.004082597626240972,0.033270698093895566,0.04095912028989803,0.012926705756897363,0.03998709123781816,-0.01863896810571182,-0.008775993978471425,-0.014625978220483001,0.23302456765073853,-0.00496030421440183,-0.3534528071178669,0.08635879448668964,-0.0306084451921768,0.2917880347860667,0.09744080364744087,-0.04220559135649257,0.02434619508543325,0.018530789430174773,-0.001214867822819333,-0.04935089098416332,-0.04549457342662537,0.01327231876490603,-0.042153767206772635,-0.028837200255916465,0.025609116339093272,-0.025660047775996075,-0.01028811057892966,-0.01069964302580906,-0.013094253298908927,0.006190922752260662,-0.015309617993541373,-0.07296751074135872,-0.010402000093173184,-0.033029698103307546,0.02375437449340807,-0.030644601111856976,0.03381254800213473,0.05762512592564297,0.011901543482312284,0.04179949464467209,-0.009216798303089083,-0.18271007374539386,0.04558671062839007,-0.044608627960374896,0.04982197189155642
DBC_Alpha_17,0.09644112037879267,0.7939287102368822,0.8953496838316232,0.5268838136727177,0.0964522916659252,1.0,0.5749924334955906,0.53887180040471,0.6734577450020818,-0.06732312614603929,0.5526917632047237,-0.13184629476843357,-0.12256485857210707,0.006395251389091735,0.08226403815448426,-0.04647552113064018,0.021591145859540264,0.14412983573713428,0.15610862671561543,0.34280300725917423,0.38223056436495423,0.47200151700724113,-0.03590417539629324,0.0951521915269114,-0.11944611314767425,-0.06661061406287658,0.33879957793811755,0.14672281362439538,0.013604411571773679,-0.09176257273086992,0.11062660586006574,0.503466595007989,-0.06666309255762054,-0.0723305317898453,0.02010920467745515,-0.09702717737923237,-0.07589157698432897,0.1524351332673183,0.43261473949890045,0.02686256494446538,-0.14789408610874594,0.12505190237919256,0.09706399120114596,0.3480665965470285,-0.10300292810941515,-0.15116590654836146,-0.03554289149939024,0.3456528541081457,-0.15631579988731917,-0.04069736254938747,-0.020350847134511522,-0.13583689401814858,0.10412466832974386,0.35321875844009026,0.08810703576505036,0.3206908519305045,-0.12568237106262056,0.12832666304115628,0.07896025452170084,-0.12771713243836716,0.14946713307229748,0.16696034866517162,0.1762198991232678,0.09205339755866021,-0.13479795419881407,-0.05565025051092679,0.011170247986931215,0.05513188184699712,0.06669261471078157,0.3439284646842539,0.06252596995242357,-0.0947303874316287,0.3435210201351196,0.10992668751217928,-0.1364208100122992,0.0473945166339341,-0.16808046148311698,0.15024771731547634,-0.14538513837544667,-0.14897075192228978,-0.1258103611379292,0.14901600492121503,0.12853821870878698,0.1536915163519034,0.07676980235956188,0.3381145692115773,-0.00202130375324723,0.11411414105829126,0.06503476549057123,-0.1437824472632102,0.033882267603001746,0.10833357037302098,-0.1381562979058763,0.07834807350961304,0.07542874867600803,0.12552145118187544,-0.06523487492329055,0.33405742772144004,-0.1371677513366995,0.3389727286231347
DBC_Alpha_13,0.07001604933633054,0.7242352194052909,0.6422090369734449,0.4868520394269185,0.06122261158344593,0.5749924334955906,1.0,0.37984420041939376,0.8538535930023449,-0.03374133414620805,0.41837189691961507,-0.16897393878074715,-0.17655619068793016,-0.005789348109098139,0.043166543116591134,-0.059471331360899986,0.014091103566993932,0.13035801800225102,0.1272936311197837,0.5962915383232388,0.5738837697977203,0.5600400135188777,-0.050685443744192635,0.0585884027219093,-0.13754226351115975,-0.07738335083645308,0.3313538435633199,0.10121305637215891,0.011446950028322217,-0.1258231160485986,0.1279937009408391,0.8753553644646713,-0.07299979420213992,-0.08936130983467436,0.021873467129361054,-0.08744189540126458,-0.056481275241435834,0.11958489368314358,0.6147291479575094,0.05106176733370942,-0.17660535773450617,0.09859287287386789,0.1375233199633491,0.1717596057889776,-0.17369424377437304,-0.17733383165891745,-0.012105928901788063,0.2786003112705086,-0.15873571974082099,-0.04700247852820441,-0.029356031646152806,-0.1746701483790117,0.0679628497258935,0.16428850314221613,0.15221178211995576,0.18103472584694216,-0.13068787615785707,0.09435813483713261,0.10981597107440028,-0.12828140583524106,0.1483482029135777,0.14436316989393969,0.15036760309884165,0.1449907881156475,-0.11951937836143346,-0.0920986665659034,0.014825792974544666,0.08206546162137747,0.09090860580553521,0.39421095025658615,0.08271683703176856,-0.09821677673224614,0.5970618107928557,0.12176782233886016,-0.10943884231933511,0.055558861572120706,-0.16567698898780303,0.18895416520631883,-0.10759643344395395,-0.13948693282196228,-0.1031868402580021,0.1540585222886055,0.13643919921717962,0.15965473049088058,0.12269195499796344,0.49052849093920925,0.005839986283022116,0.1383501029296456,0.08934183634507689,-0.13442946581377793,0.06548862457616748,0.10670073229978665,-0.12926134028405445,0.11474814463808299,0.06184193510358293,0.13484860416209432,-0.12650845819649337,0.25315442221882484,-0.10239919881235136,0.4749122781010021
USO_Alpha_17,0.07679320484900803,0.45327478696871926,0.506413237240437,0.8690775420348829,0.024688005158123374,0.53887180040471,0.37984420041939376,1.0,0.38468091814103295,-0.07325334969957507,0.9457892389825607,-0.16228650431381014,-0.10812444671878155,-0.03101910637122979,0.027716831891646088,-0.09067588869569039,0.01908470366645742,0.03684383205300449,0.05358271939350732,0.2701417236385368,0.5874147532640634,0.7704009133534668,-0.08811176422334689,0.021162411071266547,-0.1310264949812783,-0.0953758483666403,0.4237594851652568,0.12576458871227036,0.01033929588404385,-0.0952147662952098,0.01986608998654195,0.331641884260377,-0.09839157413125578,-0.09316067898724437,0.015102855238028847,-0.09251030368160411,-0.1014844437893786,0.04919072547485127,0.6841049190214016,0.04232625179398055,-0.10842719283794017,0.13346166170692644,0.01789985513439752,0.2711315262205986,-0.12510085278775754,-0.120997919382195,-0.008292783517564644,0.26851071906149127,-0.12589456910120556,-0.04529085673883478,-0.018507686990903303,-0.14924518091611508,0.11101120698248894,0.2719241662093572,0.012998252553466505,0.4300566201664946,-0.11167262520258378,0.13324597473276514,0.115896937960218,-0.13404091851000474,0.13489887426120736,0.20900459098053337,0.21109261349698083,0.014718303921628876,-0.12563792759817752,-0.01098670050914433,0.0058666196630737895,0.06460548661862661,0.017405110719156555,0.20375062706462402,0.06394746277471529,-0.1260848450536913,0.23720115358299781,0.12730097944344235,-0.10974348674717241,0.05688497240144144,-0.14120744534939308,0.15039495131037559,-0.12842929793358093,-0.12452762180414342,-0.1243056241683786,0.16446600540309367,0.14399757362313964,0.1719226767555982,0.09454408274338774,0.42355977660364297,0.00914917792118759,0.12338404167860391,0.10436359619848483,-0.14133560438626225,0.058970711023449106,0.08547506869858067,-0.12695894737178712,0.09087972239872291,0.028975847724776703,0.12463986750734884,-0.019653448807160443,0.4249648908566926,-0.12553777249513068,0.42435890653700603
DBC_Alpha_14,0.10352623918301888,0.8482471403372097,0.7521764075983005,0.5054548597181134,0.06954897922430493,0.6734577450020818,0.8538535930023449,0.38468091814103295,1.0,-0.0224678869366809,0.42224962299567803,-0.16734776901293014,-0.1786198652809235,0.014114583656939173,0.05557571061727848,-0.0560481221286811,0.0026384463403232314,0.14299665311610796,0.14587582407531077,0.5091304816580012,0.4843567701184625,0.5644205080793273,-0.05348141351121917,0.05984135849395108,-0.14608589240551315,-0.08111795382519985,0.40266712036419494,0.14020123402279133,0.009054007000177715,-0.12913633149930315,0.1442517759923715,0.7474616378349022,-0.07958005494110958,-0.09974276167315525,0.01995583228882168,-0.09597029050821389,-0.07195817056407781,0.13896471213106618,0.54068325013494,0.06262753476383473,-0.20169416127281686,0.1052583927491079,0.1376152387501199,0.23850062332724506,-0.165431873577793,-0.19598558917131453,-0.00471076324690768,0.35693090476970835,-0.18285554304944004,-0.05104613156427493,-0.02952514652056209,-0.16460440708274454,0.08378510894350287,0.2245492769743952,0.14036523518010952,0.2111109112592457,-0.1467491366406214,0.09705980969245087,0.12194133185727296,-0.13633631447823819,0.16359854538037819,0.1647814463673,0.17502415273036095,0.1351244300359203,-0.13640000329076182,-0.11237698197746587,0.01259720537954205,0.08969061095373498,0.09788214139090057,0.5105319721818848,0.08855696438513418,-0.10664095037605202,0.5098576260508336,0.14164659629263487,-0.12279856465886063,0.06496023383076485,-0.2019087369672296,0.1910643266245269,-0.12522428133855545,-0.16380883514902028,-0.11710043089550763,0.16736465843851064,0.15601944091275027,0.1813134688804538,0.14626622944563933,0.42280249593298497,0.019059265913565545,0.1573217106687243,0.09939260947692445,-0.1503403467511077,0.07347302871927783,0.12461023404640827,-0.14729953925507314,0.13282357329203923,0.06772303522933841,0.14750284705063574,-0.12133828037322214,0.2899740506239948,-0.10974665405191338,0.4340594184284737
QQQ_Alpha_5,0.12567077249630607,-0.021212553607582545,-0.0380532677877655,-0.07825371470494534,0.00456811754922463,-0.06732312614603929,-0.03374133414620805,-0.07325334969957507,-0.0224678869366809,1.0,-0.07349590583236823,0.013298387310245425,0.017052614128255022,0.659631033994189,0.0015468383264207119,0.045084614418725084,-0.08720722499819286,0.007035606804549511,-0.005153855732225123,-0.052482506497488625,-0.07120130404452521,-0.07989686819039067,0.049326506772537415,0.030600689257430924,0.030108289229686815,0.046846300649879706,-0.09097985278707545,0.09085163512100451,0.39736268894093396,-0.009945169306361832,-0.00848292878561232,-0.03854920036548749,-0.055659314254704405,-0.009314059864138401,-0.092340980868158,-0.053338877058245644,-0.09015198134356178,-0.00034398673543395593,-0.06934144962204994,-0.06641409813780424,0.0209389644976368,0.209045083665624,-0.0014607158463108732,-0.015460861497426117,0.05601956887046258,-0.015453821167285919,0.6046534527180037,-0.031931954103926775,-0.03220057847027541,0.11172023756468073,0.09924972615063525,0.04433965893807196,0.3058846367077336,-0.05789038065972503,-0.015620089121303478,-0.10890099911259035,0.005573066311857205,-0.10003172271655285,0.3221789893302222,0.05281387634607774,0.00514796618965407,0.054431083034092616,0.009996456239687349,-0.022608569668292184,-0.05552711474395204,-0.012808202641159117,-0.0830518526380892,0.018386666049004012,-0.010288696610233992,-0.03556314110244712,0.0012790140858827813,0.0021525022523169774,-0.051131097516338195,0.1858031142769688,-0.1396356504627768,0.004287801787010155,0.01680240157766305,-0.0409588708598172,-0.08859715298842726,-0.06527842421538467,-0.10012052844189434,-0.034248561182666074,0.14015133424986714,-0.018633994837016797,0.14774475654876812,-0.07452841342876078,0.08567171072398687,0.10233162734024229,0.13197108000210106,-0.1574780690570682,0.2529358414024824,0.03783705237063465,-0.009098930799238927,0.2574025446288672,0.18139121181136156,-0.040255358237445374,-0.005300352693712149,-0.08838669607337832,-0.16898658994732624,-0.08438421253314633
