alpha,crowding_score
SPY_Alpha_8,0.282007192590204
SPY_Alpha_9,0.27542938134094586
SPY_Alpha_14,0.2685382190097355
SPY_Alpha_15,0.2671583056090953
IWM_Alpha_15,0.26670359372073177
IWM_Alpha_14,0.26423469782399994
SPY_Alpha_7,0.2631901889157923
SPY_Alpha_2,0.26267814835952275
EFA_Alpha_9,0.2613498180113831
IWM_Alpha_16,0.2605580126001827
SPY_Alpha_16,0.25600361000097654
EFA_Alpha_8,0.2556254791784478
IWM_Alpha_13,0.25336782331972385
SPY_Alpha_1,0.2524629220094105
IWM_Alpha_8,0.25210849297176074
IWM_Alpha_9,0.24982451064615027
SPY_Alpha_6,0.24825897014215736
EEM_Alpha_9,0.24342338555171966
SPY_Alpha_3,0.23991859672756508
IWM_Alpha_7,0.23834153653727502
EFA_Alpha_10,0.23646443025134267
EEM_Alpha_8,0.23591531951504774
IWM_Alpha_10,0.23378642396595734
QQQ_Alpha_14,0.23200839178164032
QQQ_Alpha_7,0.2298887596468785
IWM_Alpha_1,0.22935890564849312
EFA_Alpha_0,0.22896146128439757
IWM_Alpha_17,0.22614913676706141
EEM_Alpha_7,0.22274595188740073
QQQ_Alpha_2,0.22244048093401278
VNQ_Alpha_14,0.22073566450251422
SPY_Alpha_17,0.21901640388540694
VNQ_Alpha_7,0.21779649063845966
VNQ_Alpha_13,0.21632706591056539
IWM_Alpha_6,0.21597412155554893
DBC_Alpha_15,0.21484587337376446
EFA_Alpha_6,0.2137682307466168
EFA_Alpha_11,0.21243627403423454
QQQ_Alpha_6,0.21207260431463337
EEM_Alpha_17,0.21084199148046107
EEM_Alpha_11,0.2069315471122028
VNQ_Alpha_9,0.20638824565351338
DBC_Alpha_16,0.20596831786611056
DBC_Alpha_14,0.20555631282034184
QQQ_Alpha_3,0.2042248004298236
QQQ_Alpha_16,0.20385528488324028
EEM_Alpha_6,0.20240585762613722
VNQ_Alpha_12,0.19932625717040195
VNQ_Alpha_10,0.1983020393581274
DBC_Alpha_13,0.195293529419181
USO_Alpha_15,0.19304059015717265
USO_Alpha_14,0.19297701661872732
USO_Alpha_13,0.18666630982450072
DBC_Alpha_17,0.18615574611825916
USO_Alpha_16,0.1849059638494277
VNQ_Alpha_17,0.18461214884433147
USO_Alpha_1,0.17921343169598525
USO_Alpha_17,0.17917252009172457
SPY_Alpha_4,0.17870250624097678
VNQ_Alpha_11,0.17803184336087446
USO_Alpha_0,0.17725496798400545
DBC_Alpha_12,0.17623793322222306
USO_Alpha_2,0.17455306085508585
DBC_Alpha_1,0.1732338059610675
DBC_Alpha_0,0.1730551391803855
QQQ_Alpha_17,0.16950882047413565
USO_Alpha_3,0.1692539301743261
EEM_Alpha_5,0.16701625908292475
DBC_Alpha_3,0.16700342878948912
USO_Alpha_12,0.16619714193602098
DBC_Alpha_2,0.16596410805265452
USO_Alpha_5,0.13833849987968935
SPY_Alpha_5,0.13709512194814003
TLT_Alpha_9,0.13099955788234574
DBC_Alpha_4,0.12999485308971695
QQQ_Alpha_4,0.12999102698110535
TLT_Alpha_17,0.12860692758865247
GLD_Alpha_15,0.1270950022404093
TLT_Alpha_8,0.12647085591509447
TLT_Alpha_2,0.12592609013354733
GLD_Alpha_16,0.12500954463183328
GLD_Alpha_14,0.12482468779235262
GLD_Alpha_17,0.12172357051017242
GLD_Alpha_13,0.12036147130967972
GLD_Alpha_1,0.11695201025789873
TLT_Alpha_3,0.11525168959976115
GLD_Alpha_12,0.11372010435617196
TLT_Alpha_7,0.10889350923742257
GLD_Alpha_8,0.10870583205259483
DBC_Alpha_5,0.10817552742801445
TLT_Alpha_11,0.10738284486242498
GLD_Alpha_0,0.10725495008757413
TLT_Alpha_4,0.10187466453880914
GLD_Alpha_6,0.09974950672301086
TLT_Alpha_6,0.09739265233219503
TLT_Alpha_5,0.0917224647464072
QQQ_Alpha_5,0.09041551921497573
GLD_Alpha_3,0.08813585214430826
GLD_Alpha_4,0.08581759978593113
GLD_Alpha_5,0.08044787077924624
